DATECL,VOLUME
2/01/2018,51
3/01/2018,57
4/01/2018,47
5/01/2018,49
6/01/2018,1
7/01/2018,1
8/01/2018,90
9/01/2018,109
10/01/2018,120
11/01/2018,95
12/01/2018,89
14/01/2018,1
15/01/2018,105
16/01/2018,106
17/01/2018,100
18/01/2018,103
19/01/2018,78
21/01/2018,3
22/01/2018,99
23/01/2018,111
24/01/2018,122
25/01/2018,77
26/01/2018,3
27/01/2018,3
29/01/2018,110
30/01/2018,141
31/01/2018,128
1/02/2018,111
2/02/2018,66
3/02/2018,4
4/02/2018,3
5/02/2018,102
6/02/2018,133
7/02/2018,117
8/02/2018,115
9/02/2018,95
10/02/2018,3
11/02/2018,7
12/02/2018,107
13/02/2018,115
14/02/2018,129
15/02/2018,137
16/02/2018,124
17/02/2018,12
18/02/2018,2
19/02/2018,130
20/02/2018,155
21/02/2018,124
22/02/2018,121
23/02/2018,118
24/02/2018,3
25/02/2018,3
26/02/2018,133
27/02/2018,148
28/02/2018,131
1/03/2018,137
2/03/2018,88
3/03/2018,9
4/03/2018,11
5/03/2018,113
6/03/2018,124
7/03/2018,135
8/03/2018,135
9/03/2018,98
10/03/2018,5
11/03/2018,3
12/03/2018,103
13/03/2018,139
14/03/2018,139
15/03/2018,126
16/03/2018,114
17/03/2018,9
18/03/2018,5
19/03/2018,134
20/03/2018,132
21/03/2018,141
22/03/2018,110
23/03/2018,121
24/03/2018,3
25/03/2018,6
26/03/2018,150
27/03/2018,128
28/03/2018,125
29/03/2018,86
30/03/2018,4
2/04/2018,5
3/04/2018,110
4/04/2018,132
5/04/2018,127
6/04/2018,114
7/04/2018,5
8/04/2018,9
9/04/2018,162
10/04/2018,164
11/04/2018,141
12/04/2018,128
13/04/2018,109
14/04/2018,2
15/04/2018,6
16/04/2018,97
17/04/2018,146
18/04/2018,137
19/04/2018,118
20/04/2018,84
21/04/2018,12
22/04/2018,4
23/04/2018,127
24/04/2018,124
25/04/2018,12
26/04/2018,111
27/04/2018,94
28/04/2018,4
29/04/2018,5
30/04/2018,123
1/05/2018,155
2/05/2018,131
3/05/2018,157
4/05/2018,95
5/05/2018,2
6/05/2018,5
7/05/2018,128
8/05/2018,145
9/05/2018,130
10/05/2018,145
11/05/2018,93
12/05/2018,8
13/05/2018,1
14/05/2018,117
15/05/2018,137
16/05/2018,132
17/05/2018,115
18/05/2018,104
19/05/2018,8
20/05/2018,9
21/05/2018,120
22/05/2018,107
23/05/2018,117
24/05/2018,86
25/05/2018,75
26/05/2018,3
27/05/2018,3
28/05/2018,164
29/05/2018,131
30/05/2018,138
31/05/2018,117
1/06/2018,106
2/06/2018,8
3/06/2018,10
4/06/2018,140
5/06/2018,139
6/06/2018,143
7/06/2018,147
8/06/2018,91
9/06/2018,7
10/06/2018,3
11/06/2018,35
12/06/2018,114
13/06/2018,159
14/06/2018,133
15/06/2018,88
16/06/2018,11
17/06/2018,7
18/06/2018,142
19/06/2018,126
20/06/2018,131
21/06/2018,135
22/06/2018,97
23/06/2018,3
24/06/2018,10
25/06/2018,121
26/06/2018,146
27/06/2018,110
28/06/2018,136
29/06/2018,83
30/06/2018,2
2/07/2018,118
3/07/2018,144
4/07/2018,109
5/07/2018,117
6/07/2018,106
7/07/2018,1
8/07/2018,5
9/07/2018,118
10/07/2018,145
11/07/2018,98
12/07/2018,118
13/07/2018,92
14/07/2018,4
15/07/2018,5
16/07/2018,126
17/07/2018,114
18/07/2018,113
19/07/2018,114
20/07/2018,85
21/07/2018,3
22/07/2018,5
23/07/2018,116
24/07/2018,110
25/07/2018,119
26/07/2018,114
27/07/2018,94
28/07/2018,11
29/07/2018,5
30/07/2018,114
31/07/2018,124
1/08/2018,100
2/08/2018,91
3/08/2018,69
4/08/2018,2
5/08/2018,5
6/08/2018,53
7/08/2018,110
8/08/2018,113
9/08/2018,131
10/08/2018,89
11/08/2018,4
13/08/2018,102
14/08/2018,120
15/08/2018,110
16/08/2018,103
17/08/2018,90
18/08/2018,5
19/08/2018,4
20/08/2018,112
21/08/2018,109
22/08/2018,114
23/08/2018,111
24/08/2018,87
25/08/2018,14
26/08/2018,4
27/08/2018,93
28/08/2018,136
29/08/2018,107
30/08/2018,130
31/08/2018,83
1/09/2018,4
2/09/2018,4
3/09/2018,108
4/09/2018,147
5/09/2018,122
6/09/2018,111
7/09/2018,97
9/09/2018,7
10/09/2018,115
11/09/2018,108
12/09/2018,127
13/09/2018,115
14/09/2018,97
15/09/2018,7
16/09/2018,6
17/09/2018,137
18/09/2018,133
19/09/2018,119
20/09/2018,121
21/09/2018,107
22/09/2018,11
23/09/2018,4
24/09/2018,116
25/09/2018,128
26/09/2018,124
27/09/2018,99
28/09/2018,65
29/09/2018,1
30/09/2018,2
1/10/2018,49
2/10/2018,126
3/10/2018,127
4/10/2018,121
5/10/2018,94
6/10/2018,1
8/10/2018,115
9/10/2018,136
10/10/2018,123
11/10/2018,134
12/10/2018,87
13/10/2018,13
14/10/2018,4
15/10/2018,124
16/10/2018,143
17/10/2018,103
18/10/2018,113
19/10/2018,98
20/10/2018,13
21/10/2018,5
22/10/2018,114
23/10/2018,124
24/10/2018,127
25/10/2018,99
26/10/2018,82
27/10/2018,1
28/10/2018,1
29/10/2018,107
30/10/2018,116
31/10/2018,130
1/11/2018,117
2/11/2018,91
3/11/2018,2
4/11/2018,6
5/11/2018,115
6/11/2018,93
7/11/2018,105
8/11/2018,99
9/11/2018,95
10/11/2018,1
11/11/2018,10
12/11/2018,99
13/11/2018,136
14/11/2018,106
15/11/2018,97
16/11/2018,86
17/11/2018,9
18/11/2018,4
19/11/2018,109
20/11/2018,122
21/11/2018,113
22/11/2018,100
23/11/2018,91
24/11/2018,2
25/11/2018,2
26/11/2018,97
27/11/2018,123
28/11/2018,104
29/11/2018,115
30/11/2018,97
1/12/2018,1
3/12/2018,105
4/12/2018,131
5/12/2018,104
6/12/2018,108
7/12/2018,76
8/12/2018,2
9/12/2018,5
10/12/2018,106
11/12/2018,120
12/12/2018,108
13/12/2018,103
14/12/2018,69
15/12/2018,14
16/12/2018,7
17/12/2018,98
18/12/2018,98
19/12/2018,101
20/12/2018,67
21/12/2018,58
22/12/2018,2
23/12/2018,1
24/12/2018,38
27/12/2018,28
28/12/2018,31
29/12/2018,3
30/12/2018,1
31/12/2018,34
1/01/2019,1
2/01/2019,39
3/01/2019,40
4/01/2019,44
5/01/2019,1
7/01/2019,67
8/01/2019,80
9/01/2019,84
10/01/2019,83
11/01/2019,59
12/01/2019,1
13/01/2019,3
14/01/2019,104
15/01/2019,85
16/01/2019,92
17/01/2019,82
18/01/2019,77
19/01/2019,1
20/01/2019,5
21/01/2019,88
22/01/2019,80
23/01/2019,78
24/01/2019,92
25/01/2019,74
27/01/2019,1
28/01/2019,4
29/01/2019,100
30/01/2019,90
31/01/2019,83
1/02/2019,73
2/02/2019,3
4/02/2019,104
5/02/2019,102
6/02/2019,93
7/02/2019,86
8/02/2019,89
9/02/2019,5
10/02/2019,3
11/02/2019,118
12/02/2019,103
13/02/2019,95
14/02/2019,88
15/02/2019,83
16/02/2019,3
17/02/2019,5
18/02/2019,119
19/02/2019,128
20/02/2019,103
21/02/2019,96
22/02/2019,79
23/02/2019,22
24/02/2019,4
25/02/2019,110
26/02/2019,125
27/02/2019,110
28/02/2019,99
1/03/2019,82
2/03/2019,4
3/03/2019,2
4/03/2019,102
5/03/2019,104
6/03/2019,114
7/03/2019,103
8/03/2019,87
9/03/2019,6
10/03/2019,3
11/03/2019,83
12/03/2019,111
13/03/2019,109
14/03/2019,120
15/03/2019,87
16/03/2019,16
17/03/2019,3
18/03/2019,103
19/03/2019,116
20/03/2019,84
21/03/2019,90
22/03/2019,90
23/03/2019,3
24/03/2019,2
25/03/2019,104
26/03/2019,104
27/03/2019,107
28/03/2019,108
29/03/2019,104
30/03/2019,5
31/03/2019,4
1/04/2019,94
2/04/2019,110
3/04/2019,113
4/04/2019,120
5/04/2019,101
6/04/2019,2
7/04/2019,6
8/04/2019,100
9/04/2019,99
10/04/2019,107
11/04/2019,108
12/04/2019,108
13/04/2019,4
14/04/2019,4
15/04/2019,111
16/04/2019,106
17/04/2019,86
18/04/2019,71
19/04/2019,1
20/04/2019,2
21/04/2019,2
22/04/2019,3
23/04/2019,72
24/04/2019,81
25/04/2019,3
26/04/2019,70
27/04/2019,2
28/04/2019,4
29/04/2019,92
30/04/2019,104
1/05/2019,112
2/05/2019,102
3/05/2019,87
4/05/2019,31
6/05/2019,112
7/05/2019,118
8/05/2019,92
9/05/2019,123
10/05/2019,101
11/05/2019,13
12/05/2019,1
13/05/2019,107
14/05/2019,148
15/05/2019,110
16/05/2019,102
17/05/2019,71
18/05/2019,5
19/05/2019,3
20/05/2019,96
21/05/2019,122
22/05/2019,119
23/05/2019,107
24/05/2019,87
25/05/2019,22
26/05/2019,4
27/05/2019,110
28/05/2019,111
29/05/2019,122
30/05/2019,122
31/05/2019,76
1/06/2019,7
2/06/2019,11
3/06/2019,115
4/06/2019,107
5/06/2019,110
6/06/2019,122
7/06/2019,97
8/06/2019,5
9/06/2019,3
10/06/2019,35
11/06/2019,96
12/06/2019,108
